codigo,marca,tipo,categoria,preco_unitario,custo,obs
CEAP000799,Apple,Celular,9,799,215.7,
CEAP0008910,Apple,Celular,10,899,197.8,
CEAP0001011,Apple,Celular,11,1099,329.7,
CEAP0006912,Apple,Celular,12,699,167.8,
CEAP0007913,Apple,Celular,13,799,215.7,
CEAP0009914,Apple,Celular,14,999,269.7,
CEAP0004215,Apple,Celular,15,429,115.8,
CEAP0004716,Apple,Celular,16,479,138.9,
CEAP0005717,Apple,Celular,17,579,115.8,
CEAP0009418,Apple,Celular,18,949,256.2,
CEAP0001019,Apple,Celular,19,1049,304.2,
CEAP0001220,Apple,Celular,20,1249,362.2,
CEAP0001421,Apple,Celular,21,1449,347.8,
CEAP0008422,Apple,Celular,22,849,178.3,
CEAP0009423,Apple,Celular,23,949,256.2,
CEAP0001124,Apple,Celular,24,1149,252.8,
CEAP0001325,Apple,Celular,25,1349,296.8,
CEAP0006426,Apple,Celular,26,649,181.7,
CEAP0007427,Apple,Celular,27,749,157.3,
CEAP0009428,Apple,Celular,28,949,256.2,
CEAP0005429,Apple,Celular,29,549,115.3,
CEAP0006430,Apple,Celular,30,649,181.7,
CEAP0008431,Apple,Celular,31,849,178.3,
CEAP0005932,Apple,Celular,32,599,137.8,
CEAP0006933,Apple,Celular,33,699,181.7,
CEAP0005434,Apple,Celular,34,549,120.8,
CEAP0006435,Apple,Celular,35,649,142.8,
CEAP0004436,Apple,Celular,36,449,103.3,
CEAP0004937,Apple,Celular,37,499,129.7,
CEAP0004938,Apple,Celular,38,499,124.8,
CEAP0005439,Apple,Celular,39,549,142.7,
CESA0002040,Samsung,Celular,40,200,48,
NODE000441,Dell,Notebook,1,448,134.4,
NODE000512,Dell,Notebook,2,512,107.5,
NOLE000183,Lenovo,Notebook,3,188.61,41.5,
NOAC000224,Acer,Notebook,4,227,65.8,
NOHP000215,HP,Notebook,5,214,49.2,
NOMI000426,Microsoft,Notebook,6,429,90.1,
NOHP000797,HP,Notebook,7,799,199.8,
NOHP000238,HP,Notebook,8,239.88,64.8,
NOLE000989,Lenovo,Notebook,9,989.99,217.8,
NOHP0005210,HP,Notebook,10,529,111.1,
NOSA0001311,Samsung,Notebook,11,1349.99,270,
NOHP0003512,HP,Notebook,12,359,100.5,
NOAS0006213,Asus,Notebook,13,629.99,189,
RESA000501,Samsung,Relogio,1,50,14.5,
RESA000602,Samsung,Relogio,2,60,15.6,
REAP000783,Apple,Relogio,3,789,228.8,
CESA000301,Samsung,Celular,1,300,66,
CESA000402,Samsung,Celular,2,400,96,
CESA000103,Samsung,Celular,3,100,28,
CESA000154,Samsung,Celular,4,150,31.5,
CESA000205,Samsung,Celular,5,200,56,
CESA000276,Samsung,Celular,6,270,81,
CESA000107,Samsung,Celular,7,100,27,
CESA000808,Samsung,Celular,8,800,176,
CESA000909,Samsung,Celular,9,900,198,
CESA0001210,Samsung,Celular,10,120,31.2,
CESA0001511,Samsung,Celular,11,150,26.97,
CESA0002012,Samsung,Celular,12,200,92.81,
CEXI0002513,Xiaomi,Celular,13,257,74.5,
CEXI0003114,Xiaomi,Celular,14,317,133.3,
CEXI0001515,Xiaomi,Celular,15,159,42.9,
CEXI0002116,Xiaomi,Celular,16,219,56.9,
CEXI0002417,Xiaomi,Celular,17,249,96.8,
CEXI0003218,Xiaomi,Celular,18,329,75.7,
CEXI0002919,Xiaomi,Celular,19,299,38.96,
CEXI0002420,Xiaomi,Celular,20,249,104.8,
CEXI0002521,Xiaomi,Celular,21,250,145.28,
CEXI0002722,Xiaomi,Celular,22,279,49.98,
CEXI0003523,Xiaomi,Celular,23,350,122.27,
CEMO0006924,Motorola,Celular,24,69,18.6,
CEMO0009925,Motorola,Celular,25,99,25.7,
NOLE000741,Lenovo,Notebook,1,749,224.7,
NODE000492,Dell,Notebook,2,498,109.6,
NOAS000153,Asus,Notebook,3,1599,415.7,
NOHP000594,HP,Notebook,4,599,131.8,
NOAC000525,Acer,Notebook,5,529.99,143.1,
NOAC000216,Acer,Notebook,6,2199,483.8,
NOAC000127,Acer,Notebook,7,1299,285.8,
NODE000608,Dell,Notebook,8,600,132,
NODE000749,Dell,Notebook,9,740,170.2,
NOHP0007510,HP,Notebook,10,750,210,
NOLE0009911,Lenovo,Notebook,11,999,259.7,
CAHA000271,Hashtag,Camisa,1,27.5,12.4,
TELO000131,Logitech,Teclado,1,138,37.3,
TEDE000362,Dell,Teclado,2,36,8.3,
TELO000443,Logitech,Teclado,3,44,11,
TEDE000484,Dell,Teclado,4,48,11.5,
MOLG000121,LG,Monitor,1,129,34.8,
MOSA000152,Samsung,Monitor,2,159.99,41.6,
MOLG000173,LG,Monitor,3,1796.99,467.2,
MOHA000251,Hashtag,Mochila,1,25,11,
MOHA000252,Hashtag,Mochila,2,25,11,
CAHA000253,Hashtag,Camisa,3,25,11,
CAHA000254,Hashtag,Camisa,4,25,11,
CHHA000275,Hashtag,Chaveiro,5,27,12.4,
CAHA000276,Hashtag,Camisa,6,27,12.4,
CAHA000277,Hashtag,Camisa,7,27,12.4,
CAHA000278,Hashtag,Camisa,8,27,12.4,
CAHA0009.9,Hashtag,Camisa,9,9.9,4.5,
CAHA0004510,Hashtag,Casaco,10,45.9,19.7,
CAHA0004511,Hashtag,Casaco,11,45.9,19.7,
CAHA0004512,Hashtag,Casaco,12,45.9,19.7,
CAHA0004513,Hashtag,Casaco,13,45.9,19.7,
CAHA0004814,Hashtag,Casaco,14,48.9,20,
CAHA0004815,Hashtag,Casaco,15,48.9,20,
CAHA0004816,Hashtag,Casaco,16,48.9,20,
CAHA0004817,Hashtag,Casaco,17,48.9,20,
CAHA0004518,Hashtag,Casaco,18,45.9,19.7,
CAHA0004519,Hashtag,Casaco,19,45.9,19.7,
CAHA0004520,Hashtag,Casaco,20,45.9,19.7,
CAHA0004521,Hashtag,Casaco,21,45.9,19.7,
MOMU0004.1,Multilaser,Mouse,1,4.99,1.2,
MOMU0003.2,Multilaser,Mouse,2,3.99,1.3,
MOLO0006.3,Logitech,Mouse,3,6.99,2.3,
TELG000111,LG,Teclado,1,110,29.7,
CAHA000481,Hashtag,Casaco,1,48.9,20,
CAHA000482,Hashtag,Casaco,2,48.9,20,
MOSP000221,Spectre,Monitor,1,229.99,59.8,
MOSP000132,Spectre,Monitor,2,132.72,38.5,
MOSP0007.3,Spectre,Mouse,3,7.99,2,
TELG000201,LG,Teclado,1,20,4.6,
MOLG000782,LG,Monitor,2,789.99,221.2,
BEHA000481,Hashtag,Bermuda,1,48.9,20,
BEHA000482,Hashtag,Bermuda,2,48.9,20,
CAHA000123,Hashtag,Casaco,3,12.9,6.1,
CAHA000124,Hashtag,Casaco,4,12.9,6.1,
NOAC000791,Acer,Notebook,1,799,159.8,
NOMU000192,Multilaser,Notebook,2,199,41.8,
NOHP000943,HP,Notebook,3,949,237.3,
NOAP000144,Apple,Notebook,4,1499,419.7,
NOAP000255,Apple,Notebook,5,2549,688.2,
NOAP000646,Apple,Notebook,6,6400,1280,
NOAP000247,Apple,Notebook,7,2499,599.8,
NOAP000128,Apple,Notebook,8,1299,337.7,
NOAP000599,Apple,Notebook,9,5999,1679.7,
TETC000121,TCL,Televisao,1,1200,240,
TEVI000152,Vizio,Televisao,2,159,36.6,
TEVI000443,Vizio,Televisao,3,440,110,
TEVI000244,Vizio,Televisao,4,240,69.6,
TEIN000255,Insignia,Televisao,5,250,65,
TEIN000346,Insignia,Televisao,6,343,82.3,
TEIN000187,Insignia,Televisao,7,189.99,45.6,
TELG000398,LG,Televisao,8,390,93.6,
TELG000559,LG,Televisao,9,550,148.5,
TESO0001210,Sony,Televisao,10,1200,240,
TESO0003311,Sony,Televisao,11,3300,726,
TESO0006012,Sony,Televisao,12,600,138,
TESO0005913,Sony,Televisao,13,599,131.8,
REAP000101,Apple,Relogio,1,1080,280.8,
REAP000702,Apple,Relogio,2,700,182,
REAP000643,Apple,Relogio,3,640,179.2,
REAP000504,Apple,Relogio,4,500,110,
REAP000485,Apple,Relogio,5,480,120,
REAP000446,Apple,Relogio,6,440,118.8,
REAP000327,Apple,Relogio,7,320,92.8,
REGA000928,Garmin,Relogio,8,920,239.2,
REGA000809,Garmin,Relogio,9,800,160,
RESA0002410,Samsung,Relogio,10,240,55.2,
CaCA000581,Canon,Camera,1,589,176.7,
CaCA000502,Canon,Camera,2,509,112,
CaCA000483,Canon,Camera,3,489,107.6,
CaCA000894,Canon,Camera,4,899,260.7,
MOLO000151,Logitech,Mouse,1,15.99,5.1,
TELG000101,LG,Teclado,1,10,2.5,
MOSA000191,Samsung,Monitor,1,199.99,52,
CaNI000131,Nikon,Camera,1,1396,349,
CaNI000272,Nikon,Camera,2,2796.95,643.3,
CaNI000793,Nikon,Camera,3,796.95,239.1,
CaNI000214,Nikon,Camera,4,2196.95,527.3,
MODE000191,Dell,Mouse,1,19.99,5.8,
TEMU000211,Multilaser,Teclado,1,21.99,4.4,
MOSA000121,Samsung,Monitor,1,129.99,45.5,
MODE000141,Dell,Mouse,1,14.99,4.6,
TEMU0008.1,Multilaser,Teclado,1,8.99,1.8,
MOSA000171,Samsung,Monitor,1,179.99,46.8,
MODE000281,Dell,Mouse,1,28.99,8.7,
CaNI000251,Nikon,Camera,1,2596.95,811.1,
CaSO000212,Sony,Camera,2,2198,461.6,
CaSO000153,Sony,Camera,3,1598,479.4,
CaSO000124,Sony,Camera,4,1298,298.5,
CaSO000165,Sony,Camera,5,1698,441.5,
CaSO000996,Sony,Camera,6,998,299.4,
CaSO000347,Sony,Camera,7,3498,874.5,
ACAP000191,Apple,Acessorios,1,19,3.8,
ACAP000222,Apple,Acessorios,2,22,4.4,
ACAP000293,Apple,Acessorios,3,29,5.8,
ACAP000194,Apple,Acessorios,4,19,3.8,
ACAP000295,Apple,Acessorios,5,29,5.8,
ACSA000196,Samsung,Acessorios,6,19.99,6.5,
ACSA000247,Samsung,Acessorios,7,24.99,8.2,
ACSA000298,Samsung,Acessorios,8,29.99,8.9,
ACSA0008.9,Samsung,Acessorios,9,8.9,2.4,
ACSA0001410,Samsung,Acessorios,10,14.9,3.2,
ACSA0001211,Samsung,Acessorios,11,12.5,2.8,
NOAP000501,Apple,Notebook,1,5099,1070.8,
NODE000502,Dell,Notebook,2,5099,1478.7,
NOAC000123,Acer,Notebook,3,1249,374.7,
NODE000544,Dell,Notebook,4,549,137.3,
NOSA000395,Samsung,Notebook,5,399,103.7,
NOLE000346,Lenovo,Notebook,6,349,101.2,
NOSA000547,Samsung,Notebook,7,549,115.3,
NOLE000298,Lenovo,Notebook,8,299,65.8,
NOMI000999,Microsoft,Notebook,9,999,239.8,
NOMI0002110,Microsoft,Notebook,10,2199,637.7,
NOMI0001911,Microsoft,Notebook,11,1999,419.8,
NOMI0003612,Microsoft,Notebook,12,3600,972,
NOLE0009913,Lenovo,Notebook,13,999,269.7,
NOAC0007014,Acer,Notebook,14,700,154,
NOCO0003815,Compaq,Notebook,15,380,114,
NOPO0003416,Positivo,Notebook,16,349,104.7,
NOPO0003217,Positivo,Notebook,17,320,80,
NOVA0003118,Vaio,Notebook,18,319,86.1,
NOHP0004919,HP,Notebook,19,4999,999.8,
NOAS0001920,Asus,Notebook,20,1999,539.7,
CEMO000101,Motorola,Celular,1,100,24,
CEMO000152,Motorola,Celular,2,150,45,
CEMO000893,Motorola,Celular,3,89,26.7,
CEMO000114,Motorola,Celular,4,119,29.8,
CEMO000695,Motorola,Celular,5,69,17.3,
CEMO000996,Motorola,Celular,6,99,28.7,
CEMO000197,Motorola,Celular,7,199,39.8,
NOAS000691,Asus,Notebook,1,6999,1399.8,
NOAS000702,Asus,Notebook,2,700,161,
NOLG000133,LG,Notebook,3,1393,334.3,
NOHP000824,HP,Notebook,4,820,164,
NOHP000165,HP,Notebook,5,1600,368,
NODE000126,Dell,Notebook,6,1220,244,
NOLE000147,Lenovo,Notebook,7,1487,386.6,
NOLE000248,Lenovo,Notebook,8,249,49.8,
NORA000399,Razer,Notebook,9,3999,1079.7,
NORA0001110,Razer,Notebook,10,1199,299.8,
NORA0001911,Razer,Notebook,11,1999,439.8,
NORA0007912,Razer,Notebook,12,7999,2159.7,
NOLE0001713,Lenovo,Notebook,13,1750,455,
NODE0001614,Dell,Notebook,14,1600,352,
ACAP000391,Apple,Acessorios,1,39.99,11.9,
ACAP000192,Apple,Acessorios,2,19,3.8,
ACSA0009.3,Samsung,Acessorios,3,9.55,2.1,
CEMO000271,Motorola,Celular,1,279,72.5,
FOMO000152,Motorola,Fone,2,150,33,
CEMO000223,Motorola,Celular,3,229,55,
